Channel	Amplitude	Average	AverageError	Sigma	SigmaError	a	b
1	5794.660739526678	497387.27955199406	236.37260726640528	18378.91000969369	294.23589312541213	-0.010108064155574076	6516.06471035786
1	4804.434259220827	563055.9877577076	263.16402815749467	19719.546785745424	300.0818122904377	-0.010108064155574076	6516.06471035786
